Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.00765876548534563,1100,0.294683944183983,1100,0.238291121054949
1099,0.00587595163573657,1099,0.303036697177165,1099,0.246731131969127
1098,0.0127318197387717,1098,0.308216861722761,1098,0.248414265845376
1097,0.00514042516899351,1097,0.3074684730792,1097,0.243798382910482
1096,0.00809707644875384,1096,0.307544039622643,1096,0.243652511279877
1095,0.0087116091020937,1095,0.310961234235381,1095,0.247038579273498
1094,0.00862829208195381,1094,0.315683913974164,1094,0.245509346139398
1093,0.00745102021512316,1093,0.312919421235199,1093,0.249400053324512
1092,0.0104941124897626,1092,0.317977422754852,1092,0.251682745431187
1091,0.00885504160215452,1091,0.322780711223452,1091,0.249749557848408
1090,0.0103522055360614,1090,0.327157761265924,1090,0.251606318846557
1089,0.00881974700188111,1089,0.327571562000209,1089,0.252621430413108
1088,0.00842715594300312,1088,0.332951303474668,1088,0.253839360798786
1087,0.00424310192709567,1087,0.328187285325549,1087,0.25875572029172
1086,0.00910836980347993,1086,0.335509713121806,1086,0.255201805924335
1085,0.00988057622587391,1085,0.337198972412934,1085,0.254291004380954
1084,0.0104662418262206,1084,0.338288735233671,1084,0.255854796325978
1083,0.0101863350024487,1083,0.343887789389909,1083,0.256260810884563
1082,0.00995687655292017,1082,0.347670502318145,1082,0.25806004214877
1081,0.00689399393617263,1081,0.349835136730525,1081,0.259033260474019
1080,0.00969262369065981,1080,0.351463948927759,1080,0.259960148482554
1079,0.00966477794474952,1079,0.352168565798558,1079,0.261078573273922
1078,0.0100680272896462,1078,0.358205246938396,1078,0.262384282149526
1077,0.0100709150449121,1077,0.359910251076212,1077,0.262132283877671
1076,0.0115585660090222,1076,0.359383105883573,1076,0.264111336194558
1075,0.00919659103209374,1075,0.364565979381647,1075,0.263383438209754
1074,0.0109804264518199,1074,0.36336267393906,1074,0.267102314255063
1073,0.0100938588103602,1073,0.370241203252638,1073,0.266004585484822
1072,0.00903145192190734,1072,0.37357818012,1072,0.267699422401552
1071,0.0116500517470756,1071,0.373763150158415,1071,0.269921941416645
1070,0.0100375348256315,1070,0.379266717258659,1070,0.268924523182844
1069,0.0132116808838402,1069,0.37869695666654,1069,0.268122187350541
1068,0.0113392223166347,1068,0.386402574896093,1068,0.274275931216613
1067,0.010156417197027,1067,0.383524912807557,1067,0.272075389973835
1066,0.0116612727720397,1066,0.391297116855306,1066,0.273090225360089
