e1,,exp2,,exp3,,exp4,,exp5-dilfac-2,,exp6,,exp7,,exp8,,exp9,,exp10 dil,,exp11-dil,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.196460039897702,1100,0.216650100056165,1100,0.17325290374766,1100,0.24462640054515,1100,0.0559095325875763,1100,0.17112560186443,1100,0.0534511109569275,1100,0.294683944183983,1100,0.238291121054949,1100,0.0445195316005516,1100,0.0285019144818863
1099,0.202976914286185,1099,0.215852970474519,1099,0.17639103140329,1099,0.249608480525906,1099,0.05595681973675,1099,0.17651208397566,1099,0.0559612954995353,1099,0.303036697177165,1099,0.246731131969127,1099,0.0452357244000415,1099,0.0258273093175151
1098,0.200825772207383,1098,0.218437108991609,1098,0.173510397789666,1098,0.245660856092553,1098,0.0543957992055403,1098,0.174956671957355,1098,0.0568093420985232,1098,0.308216861722761,1098,0.248414265845376,1098,0.0435934857203875,1098,0.0294065770913956
1097,0.204141437476412,1097,0.224914807601282,1097,0.176979784265956,1097,0.250297834616688,1097,0.0572947395484203,1097,0.178080693025218,1097,0.0593737318286124,1097,0.3074684730792,1097,0.243798382910482,1097,0.0426410526842586,1097,0.0281632686393868
1096,0.203720487103876,1096,0.2204858628252,1096,0.175683849752487,1096,0.245765052703802,1096,0.055205722011109,1096,0.178395751650186,1096,0.0613224077016603,1096,0.307544039622643,1096,0.243652511279877,1096,0.0459220529492905,1096,0.0295169179777176
1095,0.204859832911061,1095,0.221584344552599,1095,0.175384009329661,1095,0.2508735562083,1095,0.0628389804296811,1095,0.180702465218273,1095,0.0573488242628925,1095,0.310961234235381,1095,0.247038579273498,1095,0.0435420027824243,1095,0.0281669145283519
1094,0.208563463426384,1094,0.222268028512292,1094,0.175557947404948,1094,0.250184209436316,1094,0.0603984532716059,1094,0.178787610968497,1094,0.0578508543917769,1094,0.315683913974164,1094,0.245509346139398,1094,0.0431538022252508,1094,0.027422655707374
1093,0.213812818108147,1093,0.22535682131993,1093,0.176536259670874,1093,0.251240129214128,1093,0.0644937009061685,1093,0.181916271471251,1093,0.0610135192468879,1093,0.312919421235199,1093,0.249400053324512,1093,0.047230810277135,1093,0.0283977173942273
1092,0.212991156113566,1092,0.228366384802013,1092,0.18012232491801,1092,0.252428818623259,1092,0.0656000999927488,1092,0.182769618912122,1092,0.0600453054987394,1092,0.317977422754852,1092,0.251682745431187,1092,0.0467633867929747,1092,0.0307788124402531
1091,0.216375735315573,1091,0.228370632999117,1091,0.178989106620426,1091,0.252214684607268,1091,0.0623742449233724,1091,0.182268901720607,1091,0.0596257435149989,1091,0.322780711223452,1091,0.249749557848408,1091,0.0464344297197154,1091,0.0306316213289947
1090,0.215038995463926,1090,0.233869647538649,1090,0.180430593412246,1090,0.256871387114062,1090,0.0613017486810875,1090,0.181620278451936,1090,0.0615507657691674,1090,0.327157761265924,1090,0.251606318846557,1090,0.0461182433950078,1090,0.0305546561862228
1089,0.218883673456108,1089,0.235406929288462,1089,0.184296412805688,1089,0.255383487251613,1089,0.065028176688717,1089,0.182867141880378,1089,0.0614948728463391,1089,0.327571562000209,1089,0.252621430413108,1089,0.0460677555302742,1089,0.0325157237785668
1088,0.221281983919378,1088,0.236388624328756,1088,0.183417790362767,1088,0.255046465535814,1088,0.0677219935647166,1088,0.186421541027133,1088,0.0619607278209964,1088,0.332951303474668,1088,0.253839360798786,1088,0.0467153605309624,1088,0.0306160383277116
1087,0.221024098547402,1087,0.236435023431072,1087,0.182996364952088,1087,0.252046903613516,1087,0.06723574725871,1087,0.190283445523119,1087,0.0641599234909833,1087,0.328187285325549,1087,0.25875572029172,1087,0.0478754131242467,1087,0.0294865527386443
1086,0.223536840284831,1086,0.235927356802875,1086,0.184482231468632,1086,0.251249454466126,1086,0.0689298784704616,1086,0.192641156113588,1086,0.0665440397680164,1086,0.335509713121806,1086,0.255201805924335,1086,0.0504096193671047,1086,0.0327488779367289
1085,0.224976292208753,1085,0.24074085965456,1085,0.186511058169361,1085,0.257553311579403,1085,0.066766013771245,1085,0.189911903877373,1085,0.0612415658808309,1085,0.337198972412934,1085,0.254291004380954,1085,0.0494520575956843,1085,0.0341604350204925
1084,0.227554822168262,1084,0.242259288461692,1084,0.186545143957338,1084,0.258505348680262,1084,0.065939837481815,1084,0.192303342606928,1084,0.0668955988310072,1084,0.338288735233671,1084,0.255854796325978,1084,0.0486376702990389,1084,0.0331100883974463
1083,0.230974478489104,1083,0.241808234295555,1083,0.187631921000384,1083,0.259871232036708,1083,0.0682874201317604,1083,0.19422546165642,1083,0.0660057375684462,1083,0.343887789389909,1083,0.256260810884563,1083,0.0481569597743703,1083,0.0329276723772884
1082,0.232896455930156,1082,0.243335347224008,1082,0.191645043157926,1082,0.261129434183438,1082,0.070312570587881,1082,0.193295837762026,1082,0.0663949840026067,1082,0.347670502318145,1082,0.25806004214877,1082,0.0505224331509547,1082,0.0333044313542449
1081,0.234897394628584,1081,0.242573268999519,1081,0.18962695659689,1081,0.260252080635974,1081,0.0681011540345913,1081,0.197262890017336,1081,0.0639103359711748,1081,0.349835136730525,1081,0.259033260474019,1081,0.0495609379377003,1081,0.0320499578493781
1080,0.235156179898966,1080,0.247937213881598,1080,0.191567780071107,1080,0.26213947909448,1080,0.0693328698249634,1080,0.198119102440724,1080,0.0696904327795462,1080,0.351463948927759,1080,0.259960148482554,1080,0.0485688531212131,1080,0.0329717401519799
1079,0.238924720020072,1079,0.247177452082812,1079,0.191033913806069,1079,0.263092715152926,1079,0.0726269056633284,1079,0.199241207663873,1079,0.0681504234894245,1079,0.352168565798558,1079,0.261078573273922,1079,0.0493002277181159,1079,0.0308281373441109
1078,0.240866824705969,1078,0.249312767083781,1078,0.193408078008948,1078,0.263909093840361,1078,0.0701781892816416,1078,0.199045159970357,1078,0.068024913984216,1078,0.358205246938396,1078,0.262384282149526,1078,0.0488149312572533,1078,0.0324484100257333
1077,0.240551327448552,1077,0.248869987330407,1077,0.19472464017846,1077,0.263898542170179,1077,0.071561388182346,1077,0.201395155955881,1077,0.0703819380801471,1077,0.359910251076212,1077,0.262132283877671,1077,0.0521516688097503,1077,0.0337035610938196
1076,0.245294133405964,1076,0.252734259102348,1076,0.1962210316892,1076,0.266337412732779,1076,0.0716314744172504,1076,0.200278152489265,1076,0.0699126224680659,1076,0.359383105883573,1076,0.264111336194558,1076,0.0530602732080711,1076,0.0347982251584186
1075,0.246277009224858,1075,0.252172351609141,1075,0.198562051843391,1075,0.268751652167326,1075,0.0746469255063655,1075,0.202194654477689,1075,0.0705693374417254,1075,0.364565979381647,1075,0.263383438209754,1075,0.0526657540298061,1075,0.0336626357968243
1074,0.244111752859695,1074,0.253150811844671,1074,0.196322924636065,1074,0.265672681243946,1074,0.0738553409499496,1074,0.203812607568958,1074,0.0698626054344369,1074,0.36336267393906,1074,0.267102314255063,1074,0.052564331585987,1074,0.0367283900549112
1073,0.249350087963476,1073,0.256573959871261,1073,0.19946569839897,1073,0.267477579129758,1073,0.075245363884475,1073,0.203935796459182,1073,0.070227603660031,1073,0.370241203252638,1073,0.266004585484822,1073,0.0533789217113052,1073,0.0350849163682765
1072,0.252486778378447,1072,0.260092709227387,1072,0.20210918409745,1072,0.270531242351112,1072,0.0747153285706216,1072,0.204249887517015,1072,0.0731390182016685,1072,0.37357818012,1072,0.267699422401552,1072,0.054985581556209,1072,0.0349453765930062
1071,0.252298807662972,1071,0.259098313318625,1071,0.197905472844985,1071,0.266344964745121,1071,0.0780998972329444,1071,0.210480017201277,1071,0.072870502485508,1071,0.373763150158415,1071,0.269921941416645,1071,0.0549785304425854,1071,0.0353796320530841
1070,0.255391783314834,1070,0.261848830401634,1070,0.201787079378187,1070,0.269982138977383,1070,0.0769080805892824,1070,0.207894900918299,1070,0.0741231462006341,1070,0.379266717258659,1070,0.268924523182844,1070,0.0549077024812197,1070,0.0357514420559284
1069,0.255761585128116,1069,0.264057842631384,1069,0.201731509984351,1069,0.270248139525655,1069,0.0804742886720466,1069,0.210990501702724,1069,0.0752412082104868,1069,0.37869695666654,1069,0.268122187350541,1069,0.0564294145488894,1069,0.0357900629123814
1068,0.260093745753681,1068,0.262406543816738,1068,0.203622221985211,1068,0.273274982689987,1068,0.0825443756672348,1068,0.211162298005347,1068,0.0759908267823185,1068,0.386402574896093,1068,0.274275931216613,1068,0.0561826088196982,1068,0.0362164134720474
1067,0.261716773036022,1067,0.267795375477649,1067,0.206988238320666,1067,0.273798702636161,1067,0.0803689014378036,1067,0.212439388649464,1067,0.0747117621221807,1067,0.383524912807557,1067,0.272075389973835,1067,0.0546730627394539,1067,0.0355843775535467
1066,0.266962379505231,1066,0.267265141493676,1066,0.206137221868915,1066,0.273714929165541,1066,0.0823180081709179,1066,0.213983912837532,1066,0.0770760909044343,1066,0.391297116855306,1066,0.273090225360089,1066,0.0581868602796502,1066,0.0389844338256669
1065,0.266228162234161,1065,0.272029913931786,1065,0.205356771960491,1065,0.274057904686652,1065,0.0830504909224082,1065,0.21698884158066,1065,0.075653583251544,1065,0.392713874340786,1065,0.273959536585894,1065,0.0578850732676213,1065,0.038379096386416
1064,0.267662648406391,1064,0.270549774942412,1064,0.208015241463001,1064,0.275991838639354,1064,0.0820360979435376,1064,0.217562400021344,1064,0.0787455346263025,1064,0.394989340972481,1064,0.277219564461495,1064,0.0572342529915354,1064,0.0371263945706997
1063,0.271828162349226,1063,0.275464492639928,1063,0.210443495924814,1063,0.276628368310179,1063,0.0839503493518675,1063,0.219729364443185,1063,0.0784633281124864,1063,0.39788037149589,1063,0.274900199188076,1063,0.058900503102943,1063,0.0378474060351245
1062,0.268828801056657,1062,0.275481382009984,1062,0.209236660828775,1062,0.276248392379834,1062,0.0839329820956131,1062,0.219526809672761,1062,0.0803735425482729,1062,0.401856064074659,1062,0.276774733281651,1062,0.0590611544022401,1062,0.0375253286102307
1061,0.274294429575133,1061,0.276816742774736,1061,0.211065827824942,1061,0.276286927639761,1061,0.0864021951281183,1061,0.223310943973525,1061,0.0805557063706056,1061,0.403858987154536,1061,0.277146153808472,1061,0.0584925890093005,1061,0.0382828498878212
1060,0.276415468432125,1060,0.280260172906949,1060,0.211715183921207,1060,0.279371521637563,1060,0.0859109318824765,1060,0.224754901481533,1060,0.0804282117097919,1060,0.406604537072215,1060,0.278846601073676,1060,0.0603776596734151,1060,0.0388534586503662
1059,0.278676325269791,1059,0.280306173507411,1059,0.211452511151034,1059,0.278592638182585,1059,0.0869664932222994,1059,0.224197666924931,1059,0.081932144187683,1059,0.410424443854983,1059,0.278020585675407,1059,0.0615432195063039,1059,0.0383874383770656
1058,0.28043023160157,1058,0.281351927540475,1058,0.215448279222009,1058,0.278437500793873,1058,0.0888008499203175,1058,0.22590200252616,1058,0.083187849554448,1058,0.409031429913787,1058,0.278677013714586,1058,0.0606899956817614,1058,0.0399450772293915
1057,0.28466678935711,1057,0.285201242344215,1057,0.215070680782708,1057,0.280828463956293,1057,0.0905256975172269,1057,0.225827455057008,1057,0.0845483257415619,1057,0.411913422293769,1057,0.279706918793337,1057,0.0626527633977298,1057,0.0397456129732736
1056,0.284332622870202,1056,0.286078855432947,1056,0.215993456508195,1056,0.279869315091264,1056,0.0902347143810943,1056,0.228250779720779,1056,0.0842639902196738,1056,0.417221026755196,1056,0.281877112669284,1056,0.0621541751808728,1056,0.0402215561915626
1055,0.287351625582526,1055,0.286672948402856,1055,0.21724485346049,1055,0.281941963209689,1055,0.0931672147189671,1055,0.230047796512731,1055,0.0846182119917089,1055,0.419354274616832,1055,0.281821633262245,1055,0.0632578866081679,1055,0.0407729670256914
1054,0.288295735932058,1054,0.287955852820023,1054,0.217216082472231,1054,0.281128589642748,1054,0.0931138051389589,1054,0.231438539975632,1054,0.0853166540523033,1054,0.421911018150718,1054,0.284173130975461,1054,0.0632923545109585,1054,0.0415664018011466
1053,0.289973008421483,1053,0.290813903097404,1053,0.217814262151349,1053,0.281718123674495,1053,0.0952796337040747,1053,0.233601786862106,1053,0.0867454273050464,1053,0.422535911907487,1053,0.283782568464461,1053,0.0639380774976725,1053,0.0416402151885729
1052,0.292612798071966,1052,0.291977722816497,1052,0.219039888813525,1052,0.283459273691444,1052,0.0968835065853985,1052,0.23587530825824,1052,0.0882495164103233,1052,0.42507723777353,1052,0.285933471769336,1052,0.065063356705612,1052,0.0419047188257235
1051,0.293796831568421,1051,0.294090160554934,1051,0.221317402889267,1051,0.284247390526469,1051,0.0964036164135048,1051,0.23587655592435,1051,0.0871516656027436,1051,0.428219350491774,1051,0.28572905675759,1051,0.0653130362825259,1051,0.0426118688888629
1050,0.296638150103111,1050,0.296779113299511,1050,0.221641435242351,1050,0.285711264355941,1050,0.0973101937787801,1050,0.237084104180893,1050,0.0891100056547771,1050,0.431790994341122,1050,0.288339075950018,1050,0.0665592770481448,1050,0.0434359082274944
1049,0.298660707841231,1049,0.297528934593465,1049,0.223084169976727,1049,0.284915101227384,1049,0.0985114464041818,1049,0.237002385496721,1049,0.0882616013628836,1049,0.435863953095836,1049,0.288300009407512,1049,0.0662005734383918,1049,0.0425495957419555
1048,0.301011254627286,1048,0.299296923919912,1048,0.222634650721028,1048,0.284880930596066,1048,0.100403058075329,1048,0.240020654014815,1048,0.0895859719028161,1048,0.438021841358126,1048,0.2885921634299,1048,0.0676598860280883,1048,0.0435111560081461
1047,0.302029592831222,1047,0.300991168447185,1047,0.226269614570451,1047,0.287396476980616,1047,0.101214032213565,1047,0.240632320157679,1047,0.0919830649544167,1047,0.440865713326211,1047,0.29028189663107,1047,0.068735997977055,1047,0.0449289065649918
1046,0.30624804113023,1046,0.302970205299291,1046,0.22477045075559,1046,0.287441031948547,1046,0.102267694666492,1046,0.244089682906991,1046,0.0943174821678163,1046,0.44312908187,1046,0.290943427816079,1046,0.0680358738031628,1046,0.0436432860307423
1045,0.309029423432359,1045,0.305071473402925,1045,0.226564259879821,1045,0.289832067246747,1045,0.104436512783362,1045,0.244378588306453,1045,0.0918306157046434,1045,0.443663795571678,1045,0.29114175994446,1045,0.0685436589501119,1045,0.0441499709168291
1044,0.309101807399774,1044,0.306882726775104,1044,0.228905230040326,1044,0.288826622216673,1044,0.104916006256287,1044,0.245194829904599,1044,0.0940501135321637,1044,0.445931460338062,1044,0.292386132615617,1044,0.0700598792987767,1044,0.0452428201881928
1043,0.312539171107862,1043,0.309865751687478,1043,0.22981791769427,1043,0.290952077660148,1043,0.10719462885855,1043,0.248423347153517,1043,0.0955313747851487,1043,0.449236187216025,1043,0.293970645442392,1043,0.0707191628555528,1043,0.0461447849797761
1042,0.312274158279778,1042,0.311143407970154,1042,0.229546044198196,1042,0.289986231888211,1042,0.107415217246568,1042,0.248653837442967,1042,0.0962916429059158,1042,0.450562010227911,1042,0.294675066633123,1042,0.0720061819264622,1042,0.0465128207878044
1041,0.314828487691402,1041,0.313169734558384,1041,0.232109212276953,1041,0.292381970996599,1041,0.108561919395064,1041,0.24979004496877,1041,0.0976888690778428,1041,0.453737357933201,1041,0.295237925457375,1041,0.0736863019818326,1041,0.046412364077
