Iteration #,Au seeds [Anish],HCl (uL) [Anish],ascorbic acid (uL) [Anish],silver (uL) [Anish],temperature [Anish],loss parameter,[aucl]/[ag],[hcl]/[aucl],[aa]/[aucl],conc(seed),conc(hcl),conc(aa),conc(ag),conc(au)
1,49.4,558,235,183,38,12.2,2.73224043715847,111.6,4.7,0.00247,55.8,2.35,0.183,0.5
2,10.2,867,477,113,34,11.98,4.42477876106195,173.4,9.54,0.00051,86.7,4.77,0.113,0.5
3,35,431,359,256,36,10.38,1.953125,86.2,7.18,0.00175,43.1,3.59,0.256,0.5
4,36,146,407,137,37,8.46,3.64963503649635,29.2,8.14,0.0018,14.6,4.07,0.137,0.5
5,22,186,395,153,34,10.6,3.26797385620915,37.2,7.9,0.0011,18.6,3.95,0.153,0.5
6,43,337,188,123,38,11.34,4.0650406504065,67.4,3.76,0.00215,33.7,1.88,0.123,0.5
7,26,249,222,229,36,9.95,2.18340611353712,49.8,4.44,0.0013,24.9,2.22,0.229,0.5
8,18,152,217,210,38,10.82,2.38095238095238,30.4,4.34,0.0009,15.2,2.17,0.21,0.5
9,38,166,416,128,37,7.69,3.90625,33.2,8.32,0.0019,16.6,4.16,0.128,0.5
10,40,203,435,117,36,6.96,4.27350427350427,40.6,8.7,0.002,20.3,4.35,0.117,0.5
11,39,232,446,127,35,7.81,3.93700787401575,46.4,8.92,0.00195,23.2,4.46,0.127,0.5
12,40,234,444,106,35,6.98,4.71698113207547,46.8,8.88,0.002,23.4,4.44,0.106,0.5
13,34,208,476,108,35,6.94,4.62962962962963,41.6,9.52,0.0017,20.8,4.76,0.108,0.5
14,25,443,485,108,38,7.57,4.62962962962963,88.6,9.7,0.00125,44.3,4.85,0.108,0.5
15,34,193,492,122,36,7.18,4.0983606557377,38.6,9.84,0.0017,19.3,4.92,0.122,0.5
16,33,234,478,104,35,6.94,4.80769230769231,46.8,9.56,0.00165,23.4,4.78,0.104,0.5
17,34,236,477,118,34,6.76,4.23728813559322,47.2,9.54,0.0017,23.6,4.77,0.118,0.5
18,32,207,480,104,34,6.63,4.80769230769231,41.4,9.6,0.0016,20.7,4.8,0.104,0.5
19,31,236,464,100,34,6.65,5,47.2,9.28,0.00155,23.6,4.64,0.1,0.5
20,30,229,490,100,33,7.02,5,45.8,9.8,0.0015,22.9,4.9,0.1,0.5
