Sample 1,,nr-poly-1day,,exp1,,exp2,,exp3-22-02-2023,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.0237091650856023,1100,0.0115545518190512,1100,0.0438030290061268,1100,0.0179247992554803,1100,0.0142150681552773
1099,0.0207062741639723,1099,0.00885282239607529,1099,0.0386270774411991,1099,0.0148793361921987,1099,0.0119656273229216
1098,0.0187425587745898,1098,0.00674655396295307,1098,0.0410746139281206,1098,0.0112635820094107,1098,0.0111370394898394
1097,0.0208316712126463,1097,0.0111564540939475,1097,0.04206125681293,1097,0.0118702176027329,1097,0.013736181662039
1096,0.0216837163498412,1096,0.011942611068904,1096,0.0402922726783065,1096,0.0136086763503666,1096,0.0131554313953194
1095,0.0231461398213582,1095,0.0118535908921601,1095,0.0427196473722783,1095,0.0126574556508273,1095,0.0114196859685844
1094,0.0230331746520125,1094,0.0112693468939515,1094,0.041434446410114,1094,0.0163412963587168,1094,0.0131605810692447
1093,0.0199164375665742,1093,0.0117909205657267,1093,0.0412444304621466,1093,0.0131770444261068,1093,0.0130501566282367
1092,0.0224491347911372,1092,0.0109403661652854,1092,0.0441224047947467,1092,0.0129771782554907,1092,0.01505169896878
1091,0.0227804334829735,1091,0.0135705896303159,1091,0.0433967730909655,1091,0.0166634207285873,1091,0.0118004960913876
1090,0.022787008020047,1090,0.00985875589694316,1090,0.0415523299662757,1090,0.0146538112129445,1090,0.0142615039007485
1089,0.0242120184614704,1089,0.0129820057588231,1089,0.0465708525445685,1089,0.0164118044983495,1089,0.0121613280572892
1088,0.0213767733532686,1088,0.0119039518289962,1088,0.0468835333623213,1088,0.0160135555960042,1088,0.0143592063696826
1087,0.0219886435420186,1087,0.0106413979384022,1087,0.0462980497352476,1087,0.0136231800959551,1087,0.0130102517295142
1086,0.0241859902733715,1086,0.0119216713287132,1086,0.0489695180755558,1086,0.016172693116521,1086,0.0121131998034428
1085,0.0238856978676861,1085,0.0127123878933312,1085,0.0474356486171044,1085,0.0151198269820128,1085,0.0153899517161982
1084,0.0229589361202274,1084,0.0117605728640369,1084,0.0480344075918457,1084,0.0166413107359178,1084,0.0152586353636389
1083,0.0240172417516196,1083,0.0125343697555565,1083,0.0474817332352287,1083,0.0170739780285982,1083,0.0144342370951872
1082,0.0238550401093255,1082,0.0137982515328393,1082,0.0484094024641971,1082,0.0172102614006041,1082,0.0136821883568403
1081,0.0228692390606704,1081,0.0107675838154672,1081,0.0486608337709054,1081,0.015753269579526,1081,0.0133554330240968
1080,0.0235871981362067,1080,0.0140057677048769,1080,0.0496391989443249,1080,0.0185796671444905,1080,0.015444265061258
1079,0.024410086316965,1079,0.0132740494834236,1079,0.0504398261647044,1079,0.0165947005340877,1079,0.0153170886281347
1078,0.0242719631241463,1078,0.0130284432138774,1078,0.0496574531688009,1078,0.0175596609710146,1078,0.0152552303012852
1077,0.0228324323336173,1077,0.0132048494377445,1077,0.0512315336095108,1077,0.0162163828599636,1077,0.0142372957065663
1076,0.0236831670162292,1076,0.0132550203732705,1076,0.0513334901217538,1076,0.0168480373738029,1076,0.01386145274563
1075,0.0234301566894635,1075,0.0123000194293761,1075,0.05039191491566,1075,0.017986931095901,1075,0.0143710595058762
1074,0.0252107240445037,1074,0.0129583488382127,1074,0.0532492395486605,1074,0.0186035782308886,1074,0.0156392858264027
1073,0.0255678030722097,1073,0.0138550921227831,1073,0.0524818027092786,1073,0.0183822416075304,1073,0.0143280900819883
1072,0.0273149681651344,1072,0.0158879844995574,1072,0.0555757834767964,1072,0.0199889922582607,1072,0.0154858160031991
1071,0.0241579111382491,1071,0.0132980172068931,1071,0.0552391157591091,1071,0.0179410665249309,1071,0.01430569736625
1070,0.0246647642850773,1070,0.0135014491352766,1070,0.0553825381758585,1070,0.0193045009868618,1070,0.0157496995850763
1069,0.026830401499696,1069,0.0143749927850833,1069,0.0558226860437231,1069,0.0205713593561387,1069,0.015544165708531
1068,0.0261036015937676,1068,0.013116183814219,1068,0.0564348090044143,1068,0.0190940052710004,1068,0.0160204850839186
1067,0.026603512219421,1067,0.0138827802197266,1067,0.0557450981945589,1067,0.0198300219637936,1067,0.0145758782003163
1066,0.0237834226113165,1066,0.0122467102676889,1066,0.0561192723554183,1066,0.0176888979278053,1066,0.015548619387367
1065,0.0247458718651298,1065,0.0122971168140675,1065,0.0564126125758085,1065,0.017832872308587,1065,0.0162889669896744
1064,0.0266186491627691,1064,0.0149288704237087,1064,0.0594929953724603,1064,0.0197042636537074,1064,0.0156023085916865
1063,0.0276745823132249,1063,0.0143326650799334,1063,0.0579400302244834,1063,0.0204511928864858,1063,0.0154934882064678
1062,0.024460254116765,1062,0.0140624482977125,1062,0.0578295022329532,1062,0.0210956718497484,1062,0.016334899312767
1061,0.0262257824477266,1061,0.0153576619642297,1061,0.0612057403580906,1061,0.0218737739315837,1061,0.0163184770758294
1060,0.0272099254811839,1060,0.0163222936450638,1060,0.0615261886992916,1060,0.0215260015052743,1060,0.016658094861016
1059,0.0260111914767502,1059,0.0142309830733279,1059,0.0601036282341764,1059,0.0214821551467211,1059,0.0157110488923958
1058,0.0273857091994817,1058,0.0145999981914866,1058,0.0611224172118062,1058,0.0222112541513374,1058,0.0181491956572436
1057,0.0265560131644368,1057,0.0148421289575184,1057,0.0612025513741006,1057,0.0211601343287207,1057,0.0170381168393719
1056,0.0286449290614122,1056,0.0156634112782262,1056,0.0648560461739105,1056,0.0232792897154635,1056,0.0181339731880527
1055,0.0274053400869539,1055,0.0150378441857172,1055,0.0648680684435429,1055,0.0214840046555464,1055,0.0168585592810984
1054,0.0284330089395745,1054,0.0149596546828684,1054,0.0642179311309192,1054,0.0221089093726555,1054,0.0170295289009592
1053,0.027774107935547,1053,0.0162981584408401,1053,0.0647167623901423,1053,0.0225340828525788,1053,0.0177249477183156
1052,0.0295028433146119,1052,0.0153428856442206,1052,0.0662574371375868,1052,0.0225216503910323,1052,0.0168579403383185
1051,0.0287541638710844,1051,0.0159400775963811,1051,0.0658250559975209,1051,0.0225634205103598,1051,0.0184315288100834
1050,0.0290069749676378,1050,0.0149723280363264,1050,0.0672513714849092,1050,0.0225576673376119,1050,0.0177471938464646
1049,0.0287905908007786,1049,0.0159294705056186,1049,0.0677150048889139,1049,0.0229529866695239,1049,0.0177705737328609
1048,0.0287029721887848,1048,0.0159895181131492,1048,0.068198789908883,1048,0.023317800474007,1048,0.0183976888302878
1047,0.0296350190465107,1047,0.0179293583458286,1047,0.069293152026285,1047,0.023185812909384,1047,0.0172441436518773
1046,0.029981721144736,1046,0.01694713101407,1046,0.069576995417606,1046,0.0230006664389659,1046,0.0180883359684814
1045,0.0289934426094919,1045,0.0170172530205482,1045,0.0707606869524627,1045,0.0226850456930891,1045,0.0186115759049987
1044,0.0297143992371436,1044,0.0165320414983777,1044,0.0719378987080416,1044,0.0244764393977349,1044,0.0172815303161706
1043,0.0303774465787519,1043,0.0161568680883891,1043,0.0712200016588855,1043,0.0236682960548212,1043,0.0197520215150202
1042,0.0304007390446839,1042,0.0173954609713585,1042,0.0729208977752101,1042,0.0246737511355711,1042,0.0195819537974124
1041,0.0306198159736486,1041,0.0169156672754506,1041,0.0734765826539511,1041,0.0250633234961579,1041,0.0196876051701106
1040,0.0307957629021842,1040,0.0175133833279089,1040,0.0736538209036531,1040,0.0245186444649099,1040,0.019954488646426
1039,0.0313372474378682,1039,0.0169281556037554,1039,0.0754591422879225,1039,0.0249547662142353,1039,0.0190626019962684
1038,0.0312934008348403,1038,0.0170176837473203,1038,0.0761305354324835,1038,0.0240837537308468,1038,0.0191205686421293
1037,0.0317557934766865,1037,0.0181570770034105,1037,0.0766312032286488,1037,0.0253775768704383,1037,0.0192825538032538
1036,0.0324504741962815,1036,0.018257279734881,1036,0.0775394449579973,1036,0.0261597114397111,1036,0.0199953620385817
1035,0.0320882787962673,1035,0.0182675928582882,1035,0.0784570947743821,1035,0.0270100534839245,1035,0.0199065730159869
1034,0.0328077792799676,1034,0.0172908774851511,1034,0.0787626336021278,1034,0.0260632212862097,1034,0.0200444531396502
1033,0.0323164908269741,1033,0.0185722374139791,1033,0.0800519593237048,1033,0.0264519241912617,1033,0.019265640885769
1032,0.0324819400646867,1032,0.0181215580940373,1032,0.0809498616267949,1032,0.0267683406527979,1032,0.0204639461062278
1031,0.0340323062082661,1031,0.019148242802589,1031,0.0822406077329671,1031,0.028341345307185,1031,0.0205731235650583
1030,0.0330727386872804,1030,0.0190824282611948,1030,0.0834976458181664,1030,0.0285048168806481,1030,0.021268236443641
1029,0.0325114832342446,1029,0.0190414784179426,1029,0.0832598375601113,1029,0.0273474976851749,1029,0.0210174981148579
1028,0.0331196987152918,1028,0.0198080482074454,1028,0.0847114216429143,1028,0.028410678482129,1028,0.0200911639607083
1027,0.0328924883911636,1027,0.0193856962639217,1027,0.0844387697564565,1027,0.0278928400751574,1027,0.0211109441354153
1026,0.0338465081943388,1026,0.0204907833599228,1026,0.0868903784520305,1026,0.0286700091560809,1026,0.0209897317563991
1025,0.0332816254339342,1025,0.0194471711854366,1025,0.0879158698374869,1025,0.0291550005572451,1025,0.021163694719155
1024,0.0338648661341601,1024,0.0194415674305559,1024,0.0884716350801621,1024,0.0304879233665556,1024,0.0217906968600257
1023,0.0334183111842172,1023,0.0200362392778768,1023,0.0893180654169078,1023,0.0290807046690573,1023,0.0223441449369348
1022,0.0336821049035253,1022,0.0195626462884448,1022,0.0898191847382138,1022,0.0298419811820308,1022,0.0228210007827053
1021,0.0345409842191689,1021,0.0208702099739177,1021,0.0910347571331092,1021,0.030803376931561,1021,0.022377639721629
1020,0.0341116822562486,1020,0.0204859259383084,1020,0.0927966586998829,1020,0.0307409680586482,1020,0.0228487480515847
1019,0.0342464167577995,1019,0.020507499818215,1019,0.0940766018869475,1019,0.0318276515954709,1019,0.0236164703602416
1018,0.0338542038825707,1018,0.0206885183919609,1018,0.094139164536666,1018,0.0319424821516742,1018,0.0233466174950672
1017,0.0349828596489827,1017,0.0211804099193887,1017,0.0958255746505136,1017,0.0318699643206264,1017,0.0234188186751807
1016,0.0342822428376484,1016,0.0212122113448858,1016,0.0964055879229068,1016,0.031956078851754,1016,0.0237522799307904
1015,0.0348184464092254,1015,0.0218048504148865,1015,0.0973739042509764,1015,0.0331509616563622,1015,0.0237412615891995
1014,0.034468647761843,1014,0.021827850925364,1014,0.0985338236314271,1014,0.0332914910833641,1014,0.0237809070528969
1013,0.034780220343302,1013,0.0221179252049856,1013,0.0996382673804108,1013,0.0334408447040176,1013,0.0242232129779261
1012,0.0352884279314462,1012,0.0224762858307911,1012,0.100652239031826,1012,0.0338997931378624,1012,0.0252597497897956
1011,0.0349032681261026,1011,0.0221319259923529,1011,0.101338363698354,1011,0.0345336687489073,1011,0.0256141507345545
1010,0.0349480979335178,1010,0.0220683268255225,1010,0.103119414452923,1010,0.0347951121229936,1010,0.0250843854904069
1009,0.0346874877375447,1009,0.0220379332537714,1009,0.103975899359915,1009,0.0351376517967856,1009,0.0253696182826564
