status,iteration,batch_number,hydrochloric acid - manually operated [prm_3275bf0c20f74e9fbe4030bb4436fd3f],silver - manually operated [prm_7bc5241e5408444f87203a2de281418c],ascorbic acid - manually operated [prm_7f7e7272b634482ebc05896148b9a5af],lspr wavelength [obj_7d1b7790d057405fa1312ba80622bc0f],abs at lspr/ abs at 400nm [obj_baec6eb598f649d8b9dba5e951f7e30b],merit,updated_date
ok,0,0,850,195,215,971,0.58,0.8426124679145588,2023-01-31T17:36:36.778925Z
ok,1,0,712,440,167,847,0.4852,0.9137633407886638,2023-02-01T12:10:09.174333Z
ok,2,0,269,335,288,776,0.8059,0.6730662423632899,2023-02-01T14:17:13.403462Z
ok,3,0,281,380,484,749,0.671,0.7743136342484875,2023-02-01T16:40:24.057766Z
ok,4,0,488,126,391,843,1.128,0.43131839265074523,2023-02-02T09:41:01.856997Z
ok,5,0,716,407,238,824,0.542669,0.8706307509869555,2023-02-02T12:09:42.922475Z
ok,6,0,330,159,322,826,1.138,0.42381302631381434,2023-02-02T15:07:05.554094Z
ok,7,0,300,183,100,986,0.4016578749,0.9764647661327849,2023-02-07T12:37:41.091667Z
ok,8,0,1000,500,335,819,0.3703,1,2023-02-07T14:57:20.060583Z
ok,9,0,323,100,350,808,3.665,0,2023-02-08T10:26:14.893345Z
ok,10,0,286,100,342,808,3.636,0.010882781188549913,2023-02-08T14:32:19.161884Z
