status,iteration,batch_number,ascorbic acid (uL) - Anish [prm_055566d8ecdc4c99a05896ca449cfe45],silver (uL) - Anish [prm_5619fc4716eb412e826b89c32806fe4b],HCl (uL) - Anish [prm_6e7347d9b3af4e0c9ab0d9cf8a1a2b6f],Au seeds - Anish [prm_d36f0ece966e4135bf73fe71b5d8a89f],temperature - Anish [prm_f47c751be090499baa75552f44344e8f],loss parameter [obj_307e209340fb47a4a8d08b1032dab988],updated_date
ok,0,0,235,183,558,49.4,38,12.2,2023-03-01T15:43:21.367276Z
ok,1,0,477,113,867,10.2,34,11.98,2023-03-01T15:45:07.294661Z
ok,2,0,359,256,431,35,36,10.38,2023-03-01T15:47:23.790635Z
ok,3,0,407,137,146,36,37,8.46,2023-03-01T15:49:09.632459Z
ok,4,0,395,153,186,22,34,10.6,2023-03-01T15:50:40.414235Z
ok,5,0,188,123,337,43,38,11.34,2023-03-01T15:52:11.151490Z
ok,6,0,222,229,249,26,36,9.95,2023-03-01T15:53:57.182335Z
ok,7,0,217,210,152,18,38,10.82,2023-03-01T15:55:58.335786Z
ok,8,0,416,128,166,38,37,7.69,2023-03-01T15:57:59.357482Z
ok,9,0,435,117,203,40,36,6.96,2023-03-01T15:59:45.340274Z
ok,10,0,446,127,232,39,35,7.81,2023-03-02T09:57:06.027532Z
ok,11,0,444,106,234,40,35,6.98,2023-03-02T12:29:28.357220Z
ok,12,0,476,108,208,34,35,6.94,2023-03-02T14:55:47.398376Z
ok,13,0,485,108,443,25,38,7.57,2023-03-02T16:36:25.938308Z
ok,14,0,492,122,193,34,36,7.18,2023-03-03T11:28:05.315077Z
ok,15,0,478,104,234,33,35,6.94,2023-03-03T13:34:12.488916Z
ok,16,0,477,118,236,34,34,6.76,2023-03-03T15:55:28.714664Z
ok,17,0,480,104,207,32,34,6.63,2023-03-06T11:38:14.156134Z
ok,18,0,464,100,236,31,34,6.65,2023-03-07T08:59:15.096166Z
ok,19,0,490,100,229,30,33,7.02,2023-03-07T11:44:42.901322Z
