status,iteration,batch_number,Au seeds - Manual Operation [prm_0979441e6e084ba6b754327383415173],T - Manual Operation [prm_35b3a5f14ff84da9ab104fa1c36cbbde],HCl - Manual Operation [prm_64399725e6e1430aa55bdc7dd3e4cdf2],AA - Manual Operation [prm_76cf87bc591e47d286a32b7b9329340e],Ag - Manual Operation [prm_c2454d1705cf4513bbd50c2d65f3b3b0],Loss [obj_034c27153fa8458696247814580c4419],ratio-LSPR-to-400 [obj_bf8902bbca6d4bd9a2df2a9147689bcb],merit,updated_date
ok,0,0,47,40,764,470,299,9.83,0.66,0.4494390659166023,2023-04-20T10:22:18.514827Z
ok,1,0,45,34,870,477,352,9.81,0.75,0.44600877972293634,2023-04-20T12:58:57.956724Z
ok,2,0,37,38,470,468,104,7.84,2.79,0.11016656228867387,2023-04-20T15:55:18.931801Z
ok,3,0,47,37,929,499,199,10.1,0.91,0.4957479295310936,2023-04-21T10:37:16.908896Z
ok,4,0,31,39,648,481,162,10.09,0.53,0.4940327864342606,2023-04-21T13:09:52.901832Z
ok,5,0,38,38,428,453,112,8.76,2.35,0.2659187545554696,2023-04-21T15:33:10.317034Z
ok,6,0,48,36,815,329,175,10.65,0.97,0.5900807998569095,2023-04-24T11:14:16.248325Z
ok,7,0,36,38,446,463,112,8.95,2.24,0.29850647339529685,2023-04-25T07:09:49.825726Z
ok,8,0,38,39,503,452,100,7.58,3.11,0,2023-04-25T10:58:06.221599Z
ok,9,0,39,39,527,460,100,7.83,3.01,0.03160920865123487,2023-04-25T13:26:49.726311Z
ok,10,0,49,40,748,395,103,11.95,1.66,0.8130494024452013,2023-04-26T07:32:17.008437Z
ok,11,0,36,39,542,434,101,8.11,2.69,0.15443445326132357,2023-04-26T11:00:50.786882Z
ok,12,0,36,26,702,481,139,12.4,1.33,0.8902308418026872,2023-04-26T15:00:04.020410Z
ok,13,0,36,40,516,466,112,10.38,1.86,0.5437719362424182,2023-04-27T10:53:30.906917Z
ok,14,0,40,37,535,482,103,8.26,2.48,0.18016159971381887,2023-04-27T14:17:09.830433Z
ok,15,0,37,40,512,468,101,8.02,2.78,0.13899816538982518,2023-05-03T12:50:28.421606Z
ok,16,0,11,38,403,245,174,10.38,0.66,0.5437719362424182,2023-05-03T15:26:04.013597Z
ok,17,0,39,39,506,469,102,8.46,2.52,0.21446446165047936,2023-05-04T12:26:23.955366Z
ok,18,0,46,30,207,306,280,10.84,1.01,0.6226685186967368,2023-05-04T15:05:54.796283Z
ok,19,0,15,26,450,111,124,13.04,2.897,1,2023-05-05T12:20:03.306697Z
