status,iteration,batch_number,temperature - anish-making-sc-rods [prm_006053353b7b4ef8b3f34bcbb0b4274c],silver - anish-making-sc-rods [prm_21a587072d4e484fb4f678b899ce277f],ascorbic acid - anish-making-sc-rods [prm_264bf8922b494245a30099cd7800da66],hcl - anish-making-sc-rods [prm_48473b41d2c84141a627902c4e1372c3],au seeds - anish-making-sc-rods [prm_a13d76499f284a12a7d1eb0f3e7bdc0e],loss [obj_efd288d9d8ec47c5b317a440ead642cb],updated_date
ok,0,0,40,321,470,943,36,10.37,2023-03-02T15:34:07.410751Z
ok,1,0,32,339,315,997,23,10.89,2023-03-02T15:36:53.913272Z
ok,2,0,38,232,438,878,37,10.57,2023-03-02T15:38:09.595274Z
ok,3,0,38,292,180,922,30,13.3,2023-03-02T15:41:26.592369Z
ok,4,0,34,357,477,886,43,10.39,2023-03-02T15:44:28.114297Z
ok,5,0,38,292,391,922,27,10.28,2023-03-02T15:45:58.953804Z
ok,6,0,37,283,371,953,28,14.22,2023-03-02T15:47:44.949530Z
ok,7,0,39,334,480,617,43,10.24,2023-03-02T15:50:16.293849Z
ok,8,0,35,317,490,907,41,10.48,2023-03-02T15:52:02.163565Z
ok,9,0,36,230,480,987,39,11.4,2023-03-02T15:53:33.030230Z
ok,10,0,40,332,491,656,41,10.21,2023-03-03T11:30:06.012564Z
ok,11,0,39,326,482,698,41,9.96,2023-03-03T13:34:42.860695Z
ok,12,0,38,343,449,894,29,10.08,2023-03-03T15:55:59.023514Z
ok,13,0,39,314,473,676,42,10.22,2023-03-06T11:39:29.695347Z
ok,14,0,38,339,489,670,39,10.36,2023-03-07T09:02:31.607446Z
ok,15,0,38,340,497,737,39,10.25,2023-03-07T11:43:42.367431Z
ok,16,0,39,323,496,740,41,10.25,2023-03-07T13:58:46.752350Z
ok,17,0,39,321,486,722,41,10.28,2023-03-07T16:21:40.777478Z
ok,18,0,39,327,495,729,42,10.26,2023-03-08T10:42:03.690087Z
ok,19,0,26,300,481,677,16,10.92,2023-03-08T13:58:23.109740Z
