status,iteration,batch_number,HCl - Anish [prm_1ba5540da2074cc2aebdb43cf0bd1f57],Asc Acid - Anish [prm_66099930177645958b747e96319b97f8],Temp - Anish [prm_6d1e98acc9b347fb854b50224ab608cc],Au seeds - Anish [prm_b2f74d26e63046fb9ec21ca0f62a7e86],Silver (uL) - Anish [prm_f53805a7f8ea446d943c9e48f131392a],Loss parameter [obj_080f7503208149c69390ff6fbe06915f],updated_date
ok,0,0,974,100,38,41,301,12.44,2023-04-18T06:53:35.349898Z
ok,1,0,989,474,37,47,361,9.93,2023-04-18T09:09:11.116479Z
ok,2,0,637,446,34,47,349,9.92,2023-04-18T11:34:51.000523Z
ok,3,0,980,350,38,48,242,10.69,2023-04-18T14:24:42.421030Z
ok,4,0,663,433,34,46,338,10.16,2023-04-18T16:38:01.823408Z
ok,5,0,363,461,35,49,344,10.03,2023-04-19T09:36:33.653213Z
ok,6,0,594,462,34,45,352,10.04,2023-04-19T11:55:54.651882Z
ok,7,0,884,439,33,49,397,9.94,2023-04-19T14:37:27.230503Z
ok,8,0,673,436,35,48,339,9.9,2023-04-20T10:16:15.227530Z
ok,9,0,668,451,36,47,351,9.91,2023-04-20T12:56:11.303537Z
ok,10,0,672,439,35,48,350,9.93,2023-04-20T15:52:02.221365Z
ok,11,0,665,451,35,48,328,9.92,2023-04-21T10:34:45.489976Z
ok,12,0,708,445,34,48,336,9.9,2023-04-21T13:08:06.784116Z
ok,13,0,654,456,35,47,333,9.97,2023-04-21T15:34:25.875775Z
ok,14,0,630,434,35,47,326,9.97,2023-04-24T11:12:45.273487Z
ok,15,0,714,434,35,50,328,9.84,2023-04-25T07:07:33.379497Z
ok,16,0,695,427,36,50,320,9.85,2023-04-25T10:59:37.224190Z
ok,17,0,743,426,35,50,315,9.88,2023-04-25T13:25:18.586748Z
ok,18,0,752,421,35,50,330,9.9,2023-04-26T07:34:03.138830Z
ok,19,0,753,448,34,50,318,10.01,2023-04-26T10:58:49.662483Z
