Asc-acid,silver,hcl,seeds,temp,loss
235,183,558,49.4,38,12.2
477,113,867,10.2,34,11.98
359,256,431,35,36,10.38
407,137,146,36,37,8.46
395,153,186,22,34,10.6
188,123,337,43,38,11.34
222,229,249,26,36,9.95
217,210,152,18,38,10.82
416,128,166,38,37,7.69
435,117,203,40,36,6.96
446,127,232,39,35,7.81
444,106,234,40,35,6.98
476,108,208,34,35,6.94
485,108,443,25,38,7.57
492,122,193,34,36,7.18
478,104,234,33,35,6.94
477,118,236,34,34,6.76
480,104,207,32,34,6.63
464,100,236,31,34,6.65
490,100,229,30,33,7.02
