silver,Asc-acid,hcl,seeds,temp,loss,Z-ratio,Z-merit
317,93,674,40,27,14.77,1.46,1
190,495,947,32,34,10.03,0.68,0.13711701932818
111,402,880,14,36,10.65,0.89,0.249983569542637
320,325,962,49,30,10.41,0.88,0.206293292040267
249,483,991,23,35,10.05,0.73,0.140757875786711
149,488,826,16,38,10.35,0.59,0.195370722664674
285,488,810,25,34,10.07,0.76,0.144398732245242
223,477,708,22,36,9.33,2.1,0
218,473,691,24,36,9.21,2.04,0.0384498093019927
235,473,739,20,37,10.11,1.84,0.151680445162303
219,473,669,26,36,10.42,1.23,0.208113720269532
234,459,707,22,36,10.26,1.12,0.178986868601285
223,472,701,23,36,10.68,1.3,0.255444854230433
224,495,520,23,37,10.49,1.57,0.22085671787439
236,486,671,25,37,10.26,1.12,0.178986868601285
289,466,884,22,33,10.52,1.25,0.226318002562186
