silver,seeds,temp,hcl,Asc-acid,loss,Z-ratio,Z-abs-400,Z-merit
385,12,28,885,361,10.03,0.67,0.218045112781954,2023-05-03T12:55:46.169949Z
342,17,40,743,456,10.04,0.7,0.225563909774435,2023-05-03T15:28:35.951242Z
359,12,34,981,166,11.07,0.86,1,2023-05-04T12:24:22.634685Z
398,15,39,296,352,10.78,0.55,0.781954887218044,2023-05-04T15:07:40.995998Z
313,12,37,570,396,10.09,0.55,0.263157894736842,2023-05-05T12:18:01.967585Z
310,22,37,604,454,9.99,0.63,0.18796992481203,2023-05-05T15:12:15.706622Z
372,17,34,890,290,9.81,0.76,0.0526315789473688,2023-05-16T12:24:32.616792Z
390,13,37,869,398,9.92,0.69,0.135338345864662,2023-05-16T15:01:57.875499Z
380,18,33,929,309,10,0.84,0.195488721804511,2023-05-17T09:32:23.682968Z
352,22,38,929,337,9.77,0.83,0.0225563909830742,2023-05-17T13:05:04.458726Z
371,18,34,890,290,10.14,0.83,0.300751879699249,2023-05-17T15:18:13.379314Z
362,17,37,911,351,9.88,0.82,0.105263157894737,2023-05-18T09:28:08.418131Z
339,20,37,941,340,9.85,0.81,0.082706766917293,2023-05-18T11:43:16.288150Z
364,18,40,864,329,9.67,0.84,0,2023-05-19T07:25:23.651066Z
