,Major,Minor,Angle
1,39.4,12.1,9.7
2,50.4,14.1,9.4
3,51,11.4,1.8
4,53.4,15.3,15.7
5,45.9,13.1,128.2
6,54.3,17.4,14.9
7,42.7,9.2,164.3
8,52.3,15.8,57.8
9,38.6,11.1,77.6
10,33.8,16.5,20.1
11,22.7,21.7,167.5
12,54.1,15.3,58.7
13,45.4,17.9,4.5
14,44.5,13.2,87.9
15,33.2,14.2,161.9
16,46.2,12.4,2.3
17,50,14.1,84.2
18,59.2,13.9,159.1
19,34.6,11.2,82
20,46.6,19.1,35.6
21,47.4,10.9,119.2
22,57.6,18,177
23,53.3,13,148.6
24,46.2,16.1,141.3
25,56.4,17.7,172.1
26,52.9,15.1,165.4
27,40,10.4,57.5
28,37.5,11.8,62.3
29,45.5,11.9,167.5
30,53,12.9,67.6
31,52.7,16.9,19.2
32,55.1,14.9,52.9
33,42.6,13.5,149.7
34,55.6,20.7,66.3
35,59.9,17.8,53
36,35.9,11.2,69.3
37,52.1,16,54.9
38,46.7,14.2,54.6
39,49.5,16.1,114.9
40,56.8,16,107.4
41,51.3,13.9,105.9
42,47.8,21.2,101.5
43,43.1,12.9,117.1
44,62.3,16,72.2
45,25,18.1,99
46,56.8,16.9,92.2
47,60,16.5,167.5
48,65.7,16,147
49,53.8,14.9,134.9
50,63.1,17.3,125.8
51,51.3,21.9,169.2
52,38.3,15.8,91.1
53,51.3,14.3,108.3
54,57.1,19,124.4
55,47.1,24.1,12.7
56,47.6,14.4,55.4
57,46.1,18,109.8
58,50.4,11.1,132.3
59,56.3,16.1,146.7
60,47.5,13.2,127.1
61,60.7,15.3,131.2
62,53.4,16,100.4
63,25.3,16,24.9
64,41.5,13.6,164.2
65,46.3,15.4,138.5
66,48.2,19.8,126.4
67,54.4,21.4,39.8
68,56.5,18.9,102.4
69,29.8,28.9,137.1
70,66.3,16.7,162.3
71,40.7,9.6,140
72,57.7,20.7,69.7
73,52,21.4,143.2
74,50.3,18.6,129.3
75,52.2,16.4,41.7
76,22.8,14.7,51.1
77,55.8,14.5,74.5
78,60.1,16.4,39.4
79,27.2,26.4,42.8
80,53,17.6,63.5
81,55.6,14.8,99.6
82,49.5,17.7,68.6
83,46.2,13.7,70.5
84,62.6,16,14.9
85,58.3,20,70.4
86,56.8,20.7,63.5
87,29.7,24.6,30.3
88,34.1,31.9,121.5
89,58.9,19.5,90.7
90,35.1,32.2,156.3
91,36.2,32.7,156.8
92,60.8,17.9,122.4
93,58.4,13.9,78.5
94,50.2,15,55
95,41.9,11.6,18.5
96,50.8,18,97.6
97,46.6,19.6,28.9
98,42.9,12.8,106.8
99,37.3,10.6,143.2
100,48,18.8,68.7
101,48.2,24.5,39.8
102,30.8,28.2,127.7
103,57.1,16.2,17.1
104,60,16.1,101.3
105,53.3,16.1,149.3
106,35.3,19.4,158.2
107,57.1,16,173.4
108,52.9,14.8,150.4
109,43.5,15.3,10
110,74.5,15.5,11.5
111,47.8,13.5,24.9
112,30.6,22.5,8.5
113,56.2,17.2,77.5
114,42.7,15.3,178.7
115,34.3,32.3,8.1
116,44.3,10.7,28.6
117,34.2,10.9,138.8
118,43.3,11.6,19.8
119,38.2,10.1,29.5
120,41,10.4,147.9
121,38.7,12.3,18.5
122,66.9,16.3,4.4
1,53,17.9,43.4
2,81.8,15.4,43.2
3,51.7,12.9,9.7
4,51.5,13.6,29
5,50.1,12,117.3
6,55.5,21.6,4
7,46.4,13.7,168.2
8,53.4,17.1,151.2
9,55.4,14.7,174.2
10,59.3,16.6,122.7
11,46.9,16.9,19.7
12,58.5,19.2,24
13,57.6,19.9,171.9
14,50.6,14.9,133.2
15,48.5,20.4,22.3
16,49.4,14.3,74.4
17,42.6,20.5,176.8
18,52.5,14.4,83.6
19,56.6,13,76
20,45.4,14.2,73.3
21,29,21,10.1
22,48.1,17.8,73.8
23,57.8,17.5,65.3
24,56.9,18.2,126.8
25,55,17.5,92.7
26,43.1,13.5,137.8
27,45.4,13.6,133.4
28,54.7,11.2,13.6
29,42,11.8,145.6
30,41.4,14.7,123.8
31,50.2,20.8,140.1
32,56.5,15.2,116.5
33,46.1,13.7,135.5
34,58.5,21,111.6
35,28.8,25,173.5
36,55.8,18.2,126
37,45.6,12,130.7
38,48.9,12.5,110.2
39,46.9,18.4,18.8
40,46.2,15.2,61.2
41,43.9,14.3,117
42,46,15.3,42.1
43,58.2,18.3,119.1
44,66.4,18.7,32.8
45,51.2,13,115.3
46,43.8,12.7,60.5
47,56.6,16.4,119.5
48,42.4,13.3,129
49,57.7,18.7,39.3
50,51.7,14.6,103.1
51,61.1,16.8,128.3
52,35.1,14.4,43.9
53,54.1,21,110.4
54,60.8,18.5,19.4
55,44.6,16.5,129.4
56,62,19.2,137.4
57,46,15.4,149.6
58,37.5,29.4,93.5
59,34.7,25.8,141.5
60,58.9,21.4,32
61,44,14.8,103.1
62,54.6,17.4,117.8
63,45.6,20.2,6.5
64,53.2,15,131.8
65,29.4,24.5,47.5
66,51.9,11.3,16.9
67,59.8,20.9,67.3
68,32.9,29.3,6.1
69,31.1,15.2,80.7
70,52.8,20,171.8
71,60.7,17,22.2
72,56,19.7,0.8
73,50,12.1,128.3
74,37.6,14.1,71
75,48.6,17.9,96.6
76,59.9,15.1,154.4
77,46.1,17.8,39.6
78,45.1,13.9,147
79,52.5,20.4,60.6
80,53.2,14.1,10.4
81,51.6,12.4,25.6
82,49.4,22.1,173.9
83,55.5,13.3,94.2
84,54.2,21.5,24.5
85,56.4,14.9,174.7
86,26.9,25.9,73.2
87,54.6,17.8,55.2
88,33.6,22.6,171
89,55.4,18.1,29.8
90,47.3,13.8,82.2
91,69.2,15.3,179.9
92,46.1,12,179.1
93,54,13.4,26.2
94,49.5,21.3,19.4
95,50.6,15.4,54.6
96,50.1,22.8,33.1
97,45.6,11.1,170.2
98,32.8,31.3,72.9
99,61.5,17.3,140.4
100,49.6,14.7,169.3
101,53.6,17.8,119.9
102,60.6,19.7,168.7
103,58.2,20.3,42
104,32.5,29.7,109.1
105,59.3,16.6,33
106,50.9,21.8,141.8
107,56.1,18,149.2
108,54.3,20.2,14.7
109,51.8,15.7,121.1
110,50.9,20.1,53.6
111,45.1,14.6,0.3
112,50.2,17.1,30
113,46.2,11.9,51.4
114,47.7,13.2,57.3
115,52.6,16.7,51.3
116,36.3,33.9,46.2
117,60.1,20.8,1
118,39.3,17.4,28.3
119,63.2,18.1,140.4
120,51.5,14.1,173.8
121,32.4,24.2,172.8
122,45.3,18.9,21
123,51.9,15.9,54.9
124,52.4,12.7,53.9
125,44.3,12.1,74.9
126,52.2,14.8,100.4
127,48.1,13.5,151.1
128,46,15,145.9
129,52.9,19.8,76.5
130,50.1,11.5,170.6
131,61,18.7,130.2
132,36.1,13.7,59.8
133,58,19.4,127.8
134,25.3,14.8,74.8
135,62.7,19.8,39.4
136,38.1,11.9,50.6
137,55.5,19.3,58.1
138,61.7,16.1,178.3
139,52.6,14.8,55.8
140,49.6,14.7,52.8
141,49.4,15.1,52.9
142,50.6,19.7,42.3
143,53.1,19.7,179.6
144,52,14,178.7
145,58.3,19.5,165.6
146,50.5,20.9,5.4
147,55.8,13.4,178.1
148,52.4,21.3,108.8
149,50.6,18.4,172.1
150,53,19,9.1
151,44.4,12.5,88.5
152,45.1,17.4,102.7
153,30.3,29.6,55.6
154,55.6,15.7,166.1
155,50.7,16.7,136.7
156,51.2,16,168.6
157,45.1,16.7,175
158,43.8,16.3,15.9
159,50.2,20.7,130.1
160,53.8,13,148.9
161,48.5,15.6,58.6
162,55.9,17.1,174.4
163,54.1,19.5,166.7
164,48.3,14.4,168.9
165,47.1,14.1,171.1
166,41.8,11.7,92.8
167,26.1,24.7,165.5
168,55.6,14.4,168.7
169,46.1,15.3,127.4
170,59.9,18.7,118
171,53.4,14.5,112.9
172,58.8,20.5,117.7
173,45.8,16.7,50.1
174,41.2,11.7,84.5
175,52.1,19.7,2
176,37.4,12,75.6
177,50.5,12,124.8
178,45.9,14.2,170.3
179,53.3,15.8,55.8
180,40.4,11.8,157.1
181,51.5,14.4,23.5
182,47.9,14.2,85.2
183,28.5,26.2,100.7
184,47.4,12.8,96.1
185,48.9,12.5,165.4
186,51.9,15.8,17
187,45.8,15.5,59.6
188,56.8,17.7,164.1
189,52.4,16.2,47.5
190,32.3,27.6,70.3
191,54.1,18.1,91.1
192,56.8,18.2,169.4
193,49,13.5,92.8
194,55.1,14.7,98.1
195,42.4,13.5,84.8
