iter	RMSE
0	1.388367901
1	1.37354355
2	1.357933079
3	1.343779245
4	1.326960163
5	1.312580725
6	1.296797664
7	1.278742714
8	1.267422666
9	1.252051516
10	1.237483358
11	1.222517571
12	1.206440707
13	1.190237028
14	1.175185327
15	1.163205212
16	1.152626838
17	1.144908431
18	1.134849402
19	1.120457669
20	1.106733717
21	1.095744381
22	1.084536702
23	1.072061002
24	1.060749113
25	1.051091029
26	1.040503927
27	1.028394906
28	1.017026217
29	1.00659621
30	0.9962951579
31	0.9855907614
32	0.9768901319
33	0.9685201506
34	0.9612895965
35	0.9510192356
36	0.941745383
37	0.9335181183
38	0.9246202878
39	0.9152505992
40	0.9067554982
41	0.8976555079
42	0.8911656538
43	0.883347799
44	0.8756355585
45	0.8668225925
46	0.8572158128
47	0.8488665218
48	0.8394359123
49	0.8319242152
50	0.8247945961
51	0.816199369
52	0.8072371174
53	0.7990381969
54	0.7915624527
55	0.785924324
56	0.7778478457
57	0.7695270303
58	0.7612878851
59	0.7541269681
60	0.7464759847
61	0.7413067469
62	0.735248366
63	0.7296400562
64	0.7240929867
65	0.7190157215
66	0.7124041628
67	0.7042838761
68	0.6989826472
69	0.6938721021
70	0.6887314094
71	0.6829554021
72	0.678283215
73	0.6719441003
74	0.6668121915
75	0.6615640569
76	0.6563969654
77	0.6513230554
78	0.6462078192
79	0.6409245089
80	0.6360916776
81	0.6299642816
82	0.6252493172
83	0.6194542273
84	0.6146633185
85	0.6106746111
86	0.6063369357
87	0.6014292628
88	0.5961546714
89	0.5910944882
90	0.5864652362
91	0.5809966975
92	0.5764598041
93	0.572205442
94	0.5674810064
95	0.5628498733
96	0.5596574047
97	0.5545590563
98	0.550672468
99	0.5470459531
100	0.542537002
101	0.537495274
102	0.5330526287
103	0.5284626471
104	0.524633279
105	0.5201932257
106	0.5177477842
107	0.5146496166
108	0.5117610339
109	0.5076856308
110	0.5043797535
111	0.5012022097
112	0.4972989723
113	0.4938881387
114	0.4901560623
115	0.4867209379
116	0.4839662103
117	0.4804085968
118	0.4770758178
119	0.4734058354
120	0.4698663603
121	0.466287626
122	0.4631572559
123	0.4585417787
124	0.4547508932
125	0.452141314
126	0.4489129069
127	0.4460111696
128	0.4441177225
129	0.441592864
130	0.439815937
131	0.4368962774
132	0.4340924325
133	0.4318245832
134	0.4281702276
135	0.4252619146
136	0.4226253301
137	0.4203761253
138	0.4183649781
139	0.4160370868
140	0.4129199865
141	0.410703748
142	0.4096146136
143	0.4064744019
144	0.4043255428
145	0.4013789951
