iter	Passed	Remaining
0	0	766
1	1	784
2	52	17407
3	53	13203
4	53	10678
5	54	8970
6	54	7713
7	54	6774
8	55	6137
9	56	5550
10	56	5062
11	57	4723
12	57	4378
13	112	7944
14	113	7478
15	114	7020
16	116	6715
17	116	6352
18	116	6022
19	116	5723
20	117	5454
21	117	5218
22	117	5011
23	161	6578
24	162	6319
25	162	6077
26	171	6186
27	186	6489
28	187	6268
29	187	6063
30	189	5921
31	189	5738
32	203	5958
33	203	5783
34	203	5618
35	203	5461
36	204	5312
37	204	5174
38	204	5041
39	205	4920
40	205	4809
41	205	4694
42	206	4593
43	207	4501
44	207	4411
45	208	4315
46	208	4224
47	208	4135
48	208	4050
49	208	3970
50	209	3892
51	209	3818
52	209	3745
53	209	3675
54	210	3608
55	210	3542
56	210	3480
57	210	3422
58	210	3364
59	211	3311
60	228	3523
61	229	3471
62	230	3424
63	230	3370
64	230	3318
65	231	3279
66	231	3230
67	232	3182
68	232	3134
69	232	3089
70	232	3045
71	232	3002
72	233	2960
73	233	2919
74	233	2879
75	233	2840
76	233	2802
77	234	2767
78	234	2734
79	234	2700
80	234	2666
81	235	2633
82	235	2600
83	235	2570
84	235	2540
85	236	2514
86	236	2485
87	237	2456
88	237	2428
89	237	2401
90	237	2374
91	237	2347
92	240	2345
93	240	2320
94	240	2295
95	241	2271
96	241	2247
97	241	2224
98	241	2201
99	242	2179
100	242	2157
101	243	2147
102	244	2126
103	244	2105
104	244	2084
105	244	2064
106	244	2043
107	245	2024
108	245	2005
109	245	1986
110	245	1968
111	245	1950
112	246	1932
113	246	1914
114	246	1897
115	246	1881
116	247	1866
117	247	1850
118	247	1834
119	248	1819
120	248	1803
121	248	1787
122	248	1772
123	248	1757
124	249	1743
125	249	1729
126	249	1715
127	249	1700
128	249	1686
129	249	1672
130	250	1660
131	250	1647
132	250	1634
133	250	1622
134	251	1609
135	251	1600
136	252	1588
137	252	1576
138	252	1564
139	252	1553
140	253	1541
141	253	1530
142	253	1518
143	253	1507
144	253	1496
145	253	1485
146	254	1474
147	254	1464
148	254	1453
149	254	1443
150	254	1433
151	255	1422
152	255	1412
153	255	1403
154	255	1393
155	255	1383
156	255	1373
157	255	1364
158	256	1355
159	256	1345
160	256	1336
161	256	1328
162	265	1361
163	265	1352
164	265	1343
165	265	1334
166	265	1325
167	266	1317
168	266	1308
169	266	1300
170	266	1292
171	266	1283
172	266	1275
173	267	1269
174	267	1262
175	267	1254
176	268	1246
177	271	1253
178	306	1406
179	306	1397
180	307	1390
181	307	1382
182	307	1374
183	308	1366
184	308	1358
185	308	1350
186	308	1342
187	308	1334
188	309	1326
